abstract,access_type,article_number,authors,citing_paper_count,conference_dates,conference_location,content_type,doi,download_count,eisbn,eissn,end_page,html_url,index_terms,is_open_access,isbn,issn,issue,pdf_url,publication_date,publication_title,publication_year,publisher,start_page,title,volume
"The emergence of [::generative::] [::artificial::] [::intelligence::] (GAI) has promoted the innovation of teaching methods and brought great influence to teaching. Therefore, based on the application advantages of GAI, such as its powerful linguistic communication ability, multi-modal output forms, and versatile application scenarios, this paper clarifies the implementation designs for GAI-enable...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11092267,Yirong Wang; Fanhua Liu; Lele Guo,0,,,IEEE Conferences,10.1109/CSTE64638.2025.11092267,17,,,670,,,False,,,,,18-20 April 2025,2025 7th International Conference on Computer Science and Technologies in Education (CSTE),2025,IEEE,666,A Design Research of Classroom Teaching Enabled by Generative Artificial Intelligence,
"With the arrival of the information age, a large number of paper archives face the urgent need for digital transformation, and the traditional archive scanning and manual entry methods have obvious limitations in terms of efficiency and accuracy. In order to improve the level of archive digital processing, this paper proposes an [::artificial::] [::intelligence::]-based archive image recognition a...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11189463,Wentong Zhang; Xin Zhao; Xiaodan Huang; Yu Wei; Bingming Zeng,0,,,IEEE Conferences,10.1109/ICAIDE65466.2025.11189463,0,,,425,,,False,,,,,29-31 May 2025,2025 International Conference on [::Artificial::] [::Intelligence::] and Digital Ethics (ICAIDE),2025,IEEE,421,Research on Archival Image Recognition and Digital Reconstruction Methods Based on Artificial Intelligence,
"With the development of big data technology, traditional audit methods are facing challenges such as huge data volume and increasing complexity. [::Generative::] AI provides a new solution for the audit field. To this end, this paper proposes a research plan for audit data analysis and risk identification based on [::generative::] AI technology. This study first outlines the application of [::gene...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11070597,Hong Li; Hui Wang,0,,,IEEE Conferences,10.1109/ICDSIS65355.2025.11070597,28,,,6,,,False,,,,,16-17 May 2025,2025 3rd International Conference on Data Science and Information System (ICDSIS),2025,IEEE,1,Audit Data Analysis and Risk Identification based on Generative Artificial Intelligence Technology,
"Facing increasingly complex network security threats, traditional detection methods struggle to meet modern information security requirements. By deeply integrating big data processing technologies with [::artificial::] [::intelligence::] algorithms, an intelligent security detection and analysis system is constructed to achieve real-time fusion processing of multi-source threat data and intellige...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11181431,Xiuzhuo Wei; Rui Ma; Lei Mu; Huinan Zhao,0,,,IEEE Conferences,10.1109/ICBASE66587.2025.11181431,0,,,61,,,False,,,,,18-20 July 2025,2025 6th International Conference on Big Data & [::Artificial::] [::Intelligence::] & Software Engineering (ICBASE),2025,IEEE,58,Information Security Detection and Analysis Based on Big Data and Artificial Intelligence Technologies,
"In this paper, we present the applications of [::Generative::] [::Artificial::] [::Intelligence::] (GAl) in preotecting 6G-enabled loT networks from different cyber threats. The paper shall leverage [::Generative::] Adversarial Networks (GANs) and federated learning, in order to propose a novel framework for detecting therefore mitigates sophisticated cyber-attacks in real-time. Internet of Things...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10950051,Wael Badawy,0,,,IEEE Conferences,10.1109/IC-FTAI62324.2024.10950051,122,,,4,,,False,,,,,31 Dec.-2 Jan. 2025,2024 International Conference on Future Telecommunications and [::Artificial::] [::Intelligence::] (IC-FTAI),2024,IEEE,1,6G-Enabled IoT Networks Cyber Threat Prevention Using Generative AI,
"The paper analyzes the priorities and perspectives of [::artificial::] [::intelligence::] (AI) implementation. The main components of the paper discuss the national AI strategies, the world’s and NATO’s priorities in AI’s implementation, methodological aspects for creating the Ukrainian AI strategy and key priority areas for its implementation. Special attention is paid to perspectives of: a) appl...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10416432,Yuriy Kondratenko; Anatolii Shevchenko; Yuriy Zhukov; Vadym Slyusar; Galyna Kondratenko; Mykyta Klymenko; Oleksandr Striuk,0,,,IEEE Conferences,10.1109/DESSERT61349.2023.10416432,230,,,8,,,False,,,,,13-15 Oct. 2023,"2023 13th International Conference on Dependable Systems, Services and Technologies (DESSERT)",2023,IEEE,1,Analysis of the Priorities and Perspectives in Artificial Intelligence Implementation,
"The Metaverse, a future industry integrating next-generation information technologies, is a vital component of the digital economy. As [::artificial::] [::intelligence::] (AI) deeply converges with Metaverse technologies, it drives the industry toward higher levels of development. This study focuses on analyzing how AI technologies enhance the Metaverse industry in areas such as modeling and rende...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11048034,Fangyu Zhao; Wujie Li; Bin Wen; Rui Li,0,,,IEEE Conferences,10.1109/AIITA65135.2025.11048034,17,,,491,,,False,,,,,28-30 March 2025,2025 5th International Conference on [::Artificial::] [::Intelligence::] and Industrial Technology Applications (AIITA),2025,IEEE,487,Research on Artificial Intelligence Empowering the Development of the Metaverse Industry,
"As one of the most important service institutions, the hospital is often inefficient, and sometimes hospital will even cause chaos. In addition, the hospital keeps a lot of important network resources, which is very vulnerable to network attacks by illegal elements, such as hackers. [::Artificial::] [::intelligence::] is one of the three cutting-edge technologies in the 21st century and it has a b...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9797584,Ruizhe Wang,0,,,IEEE Conferences,10.1109/ICAICE54393.2021.00036,221,,,148,,,False,,,,,5-7 Nov. 2021,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),2021,IEEE,143,Application analysis of artificial intelligence in hospital,
"The rapid development of [::artificial::] [::intelligence::] has had a significant influence in various ways, one of which is in the creative design and editing industry. The use of AI in the creative sector has multiple impacts and new challenges for the creative industry. AI as a tool can increase the efficiency and productivity of creative workers. However, the rapid development of AI can also ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10762015,Eryka Clarencia; Tirsa Gracella Tiranda; Said Achmad; Rhio Sutoyo,0,,,IEEE Conferences,10.1109/iSemantic63362.2024.10762015,550,,,444,,,False,,,,,21-22 Sept. 2024,2024 International Seminar on Application for Technology of Information and Communication (iSemantic),2024,IEEE,440,The Impact of Artificial Intelligence in the Creative Industries: Design and Editing,
"[::Generative::] [::artificial::] [::intelligence::] (GAI) technologyhas had a significant impact on teaching and learning, but its actual impact on students’ academic achievement is controversial. This study conducted a meta-analysis to systematically analyze 26 experimental and quasi-experimental articles on the impact of GAI on students’ academic achievement before April 2024. The results showe...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10960226,Li Qian; Wenhao Li; Qinna Feng; Liangya Li,0,,,IEEE Conferences,10.1109/IEIR62538.2024.10960226,188,,,5,,,False,,,,,6-8 Nov. 2024,2024 International Conference on Intelligent Education and Intelligent Research (IEIR),2024,IEEE,1,The Effect of Generative Artificial Intelligence on Students’ Academic Achievement: A Meta-analysis,
"For trusted AI, the AI academic community has set up related technical communities, including AcmFacct, Fair & Responsible AI CHI2020, RAI ICLR, etc. However, the sample set adopted by the research in the field of general [::artificial::] [::intelligence::] technology lacks the coverage of power vision data, which is divorced from the actual power vision scene, and ignores the influence of the evi...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10917108,Kai Xu; Ji Qiao; Jiateng Li; Yan Li; Xiao Cheng; Jianxun Mi,0,,,IEEE Conferences,10.1109/ICEI63732.2024.10917108,36,,,607,,,False,,,,,1-3 Nov. 2024,2024 IEEE International Conference on Energy Internet (ICEI),2024,IEEE,603,Research requirements of robustness evaluation technology of artificial intelligence model in power visual scene,
"With the continuous progress of computer science, the information content of the Internet has evolved from PGC and UGC to the present situation of dominated by [::artificial::] [::intelligence::] content generation, and the [::generative::] [::artificial::] [::intelligence::] APPs led by chatgpt keep emerging. This paper takes the results of the demand research of [::generative::] AI APP as the re...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10864040,Baoshui Liu; Zhengcong Wei; Zhixin Zhang,0,,,IEEE Conferences,10.1109/ICAICE63571.2024.10864040,73,,,639,,,False,,,,,8-10 Nov. 2024,2024 5th International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),2024,IEEE,635,Research on Optimized Design of Generative Artificial Intelligence APP Based on Kano Model,
"With the rapid development of computer technology, [::artificial::] [::intelligence::] (AI) has been widely used in the field of art design. This paper mainly analyzes the impact and cases of [::artificial::] [::intelligence::] on art design, and it demonstrates that under the promotion of science and technology, the application of [::artificial::] [::intelligence::] in the field of art design can...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9408896,Zhang Han,0,,,IEEE Conferences,10.1109/ICSP51882.2021.9408896,1168,,,1026,,,False,,,,,9-11 April 2021,2021 6th International Conference on Intelligent Computing and Signal Processing (ICSP),2021,IEEE,1023,Combined Development of Artificial Intelligence and Art Design,
"With the rapid growth of data information, the pressure on network bandwidth is increasing day by day, and the traditional network architecture can no longer meet the daily needs of users. The birth and development of software-defined networking (SDN) brings new opportunities and challenges to the future network field. Due to its excellent flexibility and programmability, it has greatly improved t...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9832340,Fanhua Song; Donghong Qin; Chen Xu,0,,,IEEE Conferences,10.1109/SEAI55746.2022.9832340,700,,,242,,,False,,,,,10-12 June 2022,2022 IEEE 2nd International Conference on Software Engineering and [::Artificial::] [::Intelligence::] (SEAI),2022,IEEE,237,A Survey of Application of Artificial Intelligence Methods in SDN,
"This study aims to guide pre-service teachers in effectively utilizing [::Generative::] [::Artificial::] [::Intelligence::] (GAI) tools to enhance their [::Artificial::] [::Intelligence::] (AI) literacy. By ana-lyzing the impact of GAI on the AI literacy of pre-service teachers, this study proposes a “teacher-student-machine” triadic interactive teaching model based on self-organized learning and ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11120412,Junna Zhang; Yulin Sun; Li Duan; Hui Liu; Chunhong Liu; Aili Zhang; Peiyan Yuan,0,,,IEEE Conferences,10.1109/SSE67621.2025.00034,29,,,218,,,False,,,,,7-12 July 2025,2025 IEEE International Conference on Software Services Engineering (SSE),2025,IEEE,211,A Practical Teaching Model of Software Engineering Courses for Artificial Intelligence Literacy Cultivation in Pre-Service Teachers,
"The study investigates the human-AI synergy on performance within the IT sector workforce, focusing on [::generative::] AI (GAI) tools. Adopting the Task-Technology Fit Theory, the research evaluates how AI characteristics (adaptivity, iteration capabilities, learning ability, quality of content) and human traits (self-efficacy, personal innovativeness) influence AI reliance and performance outcom...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10925615,P. Nalini; Amrutha S; V. Anandavel,0,,,IEEE Conferences,10.1109/IIPEM62726.2024.10925615,106,,,6,,,False,,,,,25-25 Nov. 2024,2024 International Conference on Intelligent & Innovative Practices in Engineering & Management (IIPEM),2024,IEEE,1,Human-Artificial Intelligence Synergy (AI): Leveraging Generative AI(GAI) to Empower the IT Workforce,
"This article addresses the growing importance of understanding how multimodal [::artificial::] general [::intelligence::] (AGI) can be integrated into educational practices. We first reviewed the theoretical foundations of multimodality in human learning, encompassing its concept and history, dual coding theory and multimedia theory, VARK multimodality, and multimodal assessment (see Section II-A)...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11016818,Gyeonggeon Lee; Lehong Shi; Ehsan Latif; Yizhu Gao; Arne Bewersdorff; Matthew Nyaaba; Shuchen Guo; Zhengliang Liu; Gengchen Mai; Tianming Liu; Xiaoming Zhai,0,,,IEEE Journals,10.1109/TLT.2025.3574466,800,,,683,,,False,,,,,2025,IEEE Transactions on Learning Technologies,2025,IEEE,666,Multimodality of AI for Education: Toward Artificial General Intelligence,18
"The quick advancement in AI has led to the development of refined large language models (LLM). While LLM is a specific type of [::generative::] AI focused on [::generative::] text [::generative::] AI is a broader category encompassing various AI systems that can generate new content including texts, images, music, and more generation models. [::Generative::] AI is transforming various fields, like...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10927855,Stuti Bhatt; Sachin Sharma,0,,,IEEE Conferences,10.1109/ICCCIT62592.2025.10927855,115,,,6,,,False,,,,,7-8 Feb. 2025,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",2025,IEEE,1,Generative Artificial Intelligence Based Biomedical Applications for Pharmaceutical Industry,
"This paper investigates the role of [::artificial::] [::intelligence::] (AI) in shaping digital mental images, particularly its influence on motion expressions in education and its application in enhancing visual culture education. The study employs AI technologies, such as Convolutional Neural Networks (CNN), to explore how motion patterns in animated characters can be accurately classified. The ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11141219,Sahera Fakhri Salama,0,,,IEEE Conferences,10.1109/ICMI65310.2025.11141219,2,,,5,,,False,,,,,5-6 April 2025,2025 IEEE 4th International Conference on Computing and Machine [::Intelligence::] (ICMI),2025,IEEE,1,Artificial Intelligence in Shaping Digital Mental Images and Its Role in Enhancing Visual Culture Education,
"In an era where data is the cornerstone of strategic decision-making, [::Generative::] [::Artificial::] [::Intelligence::] (Gen AI) is revolutionizing the Business [::Intelligence::] (BI) landscape. This study investigates the multifaceted role of [::Generative::] AI in BI, encompassing data generation and augmentation, predictive analytics, reporting automation, product and service innovation, an...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10467477,Thiruneelakandan. A; Umamageswari. A,0,,,IEEE Conferences,10.1109/IDCIoT59759.2024.10467477,878,,,1240,,,False,,,,,4-6 Jan. 2024,2024 2nd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),2024,IEEE,1234,Generative AI: A Transformative Force in Business Intelligence,
"With the progress of [::artificial::] [::intelligence::] (AI), [::generative::] AI has emerged as a novel catalyst for driving innovation within enterprises. This study, rooted in behavior activation theory, endeavors to examine the impact of [::generative::] AI on enterprise innovation. A conceptual model is formulated to elucidate the relationship between [::generative::] AI and enterprise innov...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10459661,Haonan Xu; Ruoxuan Xu; Hongyu Lin; Xiaojuan He,0,,,IEEE Conferences,10.1109/ICETSIS61505.2024.10459661,1365,,,1807,,,False,,,,,28-29 Jan. 2024,2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS),2024,IEEE,1802,"The Impact of Generative Artificial Intelligence on Organizational Innovation Performance: Roles of AI Generated Content Quality, AI Experience, and AI Usage Environment",
"In the era of [::artificial::] [::intelligence::], the governance of false and harmful information in cyberspace has become more urgent due to the development of content generation technologies. Therefore, the monitoring techniques for false and harmful information has become an important research topic. The core principle of false and harmful information monitoring technology is the integration o...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11183077,Bing Bai,0,,,IEEE Conferences,10.1109/CAIBDA65784.2025.11183077,0,,,629,,,False,,,,,20-22 June 2025,"2025 5th International Conference on [::Artificial::] [::Intelligence::], Big Data and Algorithms (CAIBDA)",2025,IEEE,626,Research on Risks and Governance Pathways of False and Harmful Information in the Application of Generative Artificial Intelligence,
"This paper proposes a personalized learning system based on [::generative::] [::artificial::] [::intelligence::], which aims to improve students&#39; learning efficiency and interest through adaptive learning paths and content recommendations. The system integrates advanced [::artificial::] [::intelligence::] technologies such as GAN and VAE to achieve deep customization and dynamic adjustment of the ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10986914,Chu Zhou,0,,,IEEE Conferences,10.1109/EESPE63401.2025.10986914,85,,,1008,,,False,,,,,17-19 March 2025,"2025 IEEE International Conference on Electronics, Energy Systems and Power Engineering (EESPE)",2025,IEEE,1004,Design and Implementation of Personalized Learning System Based on Generative Artificial Intelligence,
"The study delves into the deep integration of [::Artificial::] [::Intelligence::](AI) with the coal industry, emphasizing that this amalgamation is pivotal for the modernization of mines, achieving automation, reduction of human labor, and enhancing efficiency. Coal continues to be an essential resource within the global energy framework, maintaining a significant role. The article elaborates on t...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10973592,Wenpeng Shi; Jian Li; Zhaosheng Chen; Chen Zhang; Honggang Yang,0,,,IEEE Conferences,10.1109/WI-IAT62293.2024.00142,116,,,879,,,False,,,,,9-12 Dec. 2024,2024 IEEE/WIC International Conference on Web [::Intelligence::] and Intelligent Agent Technology (WI-IAT),2024,IEEE,874,Smart Mine: The Role of Artificial Intelligence in Modern Coal Extraction,
This paper unveils the groundbreaking impact of [::Generative::] AI (GenAI) as the dawn of a transformative era in 5G/6G networks and beyond. Exploring its disruptive potential across the value chain—from network design to agile and robust automation—we showcase GenAI as a catalyst for innovation and unparalleled efficiency. While tracing its historical journey from conception to practical impleme...,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10599272,Christina Chaccour; Athanasios Karapantelakis; Timothy Murphy; Mischa Dohler,0,,,IEEE Magazines,10.1109/MNET.2024.3425594,1477,,,28,,,False,,,5,,Sept. 2024,IEEE Network,2024,IEEE,21,Telecom’s Artificial General Intelligence (AGI) Vision: Beyond the GenAI Frontier,38
"This study logically discusses navigating [::artificial::] [::intelligence::] (AI) in strategic management in schools and organizations. It identified AI innovations in strategic management, including [::generative::] adversarial networks, natural language processing, predicting analysis, and reinforcement learning. The study outlined AI implications for strategic management and discussed the esse...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10876908,Khawlah M. Al-Tkhayneh; Abdulrasheed Olowoselu; Mona Kamal Ibrahim; Ibrahim Suleiman Al Qatawneh; Tamim Ahmed Jabarah,0,,,IEEE Conferences,10.1109/ACIT62805.2024.10876908,83,,,5,,,False,,,,,10-12 Dec. 2024,2024 25th International Arab Conference on Information Technology (ACIT),2024,IEEE,1,Navigating Artificial Intelligence in Strategic Management in Schools and Organizations,
"As an emerging technology, [::generative::] [::artificial::] [::intelligence::] (GenAI) has shown great potential for application in the field of education. Based on the research results of the 2024 AIED conference, this article discusses the current application status, research results, and trend challenges of [::generative::] AI in the field of education. Research indicates that [::generative::]...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11158359,Zefei Wang; Kaiquan Chen,0,,,IEEE Conferences,10.1109/ICAIE64856.2025.11158359,1,,,497,,,False,,,,,14-16 May 2025,2025 5th International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2025,IEEE,491,The Application of Generative Artificial Intelligence in Education: An Analysis of the 25th International Conference on Artificial Intelligence in Education (AIED 2024),
"The rapid development of [::artificial::] [::intelligence::] technology has made its application in the field of computer network security increasingly widespread. With the increasing complexity and frequency of cyber attacks, traditional defense methods are no longer able to cope with new threats such as zero day attacks and APT attacks. [::Artificial::] [::intelligence::] (AI) technology, with i...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11144539,Jingjing Fan,0,,,IEEE Conferences,10.1109/ICAIDT66272.2025.00031,21,,,132,,,False,,,,,28-30 April 2025,2025 2nd International Conference on [::Artificial::] [::Intelligence::] and Digital Technology (ICAIDT),2025,IEEE,128,Research on Computer Network Security Defense Mechanism Based on Artificial Intelligence,
"This study is dedicated to exploring the application potential of [::Generative::] [::Artificial::] [::Intelligence::] (AIGC) in non-linear learning, aiming to construct innovative agent models that optimize learning experiences and adapt to the complexity and individual differences in learning. The theory of non-linear learning emphasizes dynamic essence and personalized needs, with AIGC technolo...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11083106,Dan Zhao; Yuan Lin,0,,,IEEE Conferences,10.1109/IECA66054.2025.00012,18,,,29,,,False,,,,,17-19 Jan. 2025,2025 2nd International Conference on Informatics Education and Computer Technology Applications (IECA),2025,IEEE,26,Developing a Nonlinear Learning Agent Model Driven by Generative Artificial Intelligence,
"In the presence of renewable resources, such as solar and wind, which are inherently intermittent, battery energy storage systems (BESS) are among the most popular energy storage solutions for increasing grid reliability and stability. Despite all the advantages, energy storage operations can be challenging, from monitoring the output of renewable energy sources to scheduling charging and discharg...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11156030,Behzad Pirouz; Francesca Guerriero; Javaher Ramezani Paschapari,0,,,IEEE Conferences,10.1109/ICoAILO66760.2025.11156030,22,,,167,,,False,,,,,7-9 Aug. 2025,2025 IEEE International Conference on [::Artificial::] [::Intelligence::] for Learning and Optimization (ICoAILO),2025,IEEE,162,Artificial Intelligence and ChatGPT in Optimal Management of Battery Energy Storage Systems: Advantages and Challenges,
"This research presents a pioneering approach to combat child cyberbullying utilizing [::generative::] [::artificial::] [::intelligence::] (AI) techniques. Our system achieved an impressive detection accuracy of 92.5%, with a precision of 89% and recall of 95%, surpassing traditional methods by 15% in accuracy and 10% in recall. Additionally, the system exhibited rapid response times, with an avera...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10673710,Pranav Kumar Chaudhary; Sreedhar Yalamati; Naga Ramesh Palakurti; Naved Alam; Saydulu Kolasani; Pawan Whig,0,,,IEEE Conferences,10.1109/APCIT62007.2024.10673710,321,,,5,,,False,,,,,26-27 July 2024,2024 Asia Pacific Conference on Innovation in Technology (APCIT),2024,IEEE,1,Detecting and Preventing Child Cyberbullying using Generative Artificial Intelligence,
